"dates","times","X","Subject","eprocs","Task_type","Procedure","Sample","objlist","PairList","ITIDur","ObjDur","startPosition","startFacing","paths","e_paths","Vid_paths","select_made","StartAt","EndAt","end_location","end_rotation","accuracy","nodesturns_count","nodes_count","turns_count","average_RT","final_movevid_OT","trial_starttime","trial_endtime","trial_duration","getready_rttime","iti_onset","startat_onset","goal_onset","session_time","Position1..Num.","Position2..Num.","Euc.Distance","Euclid.S.L","Euclid.S.M.L","Path.Distance","Path.S.L","Path.S.M.L","Num.Nodes","Nodes.S.L","Nodes.S.M.L","Num.Nodes...Turns..button.presses.","Press.S.L","Press.S.M.L","fmv_duration","path_dist_trav","euc_dist_trav","path_efficiencies","path_efficiencies_acc_only"
2019-04-25,"11:32:26",3665,83,"Test_Trials_B_3-083-1","B3","TrialRevProc",1,27,6,3770.817084,2388.8882,23,4,"W U U R J D D E E M M O O","U4 U1 R1 J1 D1 D2 E2 E3 M3 M4 O2 O2","W4_U4 U4_U1 U1_R1 R1_J1 J1_D1 D1_D2 D2_E2 E2_E3 E3_M3 M3_M4 M4_O2 Selec",TRUE,"W","O","O",1,TRUE,13,8,5,268.416666666667,69398,34749,70451,34702,29922,70451,32349,29949,"11:32:26",23,15,7.25,"S","S",17.75,"S","S",5,"S","S",9,"S","M",1053,27.25,7.25,1.53521126760563,1.53521126760563
2019-04-25,"11:32:26",3666,83,"Test_Trials_B_3-083-1","B3","TrialRevProc",2,90,3,3660.848893,2624.268464,22,3,"Y Y V X X T U U R R S S M M O O","Y4 V1 X1 X2 T2 U2 U1 R1 R2 S2 S1 M1 M4 O2 O2","Y2_Y4 Y4_V1 V1_X1 X1_X2 X2_T2 T2_U2 U2_U1 U1_R1 R1_R2 R2_S2 S2_S1 S1_M1 M1_M4 M4_O2 Selec",TRUE,"Y","O","O",1,TRUE,16,9,7,205.333333333333,116620,79517,117673,37156,29922,117673,76877,74238,"11:32:26",22,15,8.280247581,"S","M",25.25,"L","L",8,"L","L",15,"L","L",1053,25.25,8.2802475808396,1,1
2019-04-25,"11:32:26",3667,83,"Test_Trials_B_3-083-1","B3","TrialRevProc",3,69,2,3569.806548,2275.109357,9,3,"I C C B B H H G G A A","C1 C4 B4 B3 H3 H4 G4 G1 A4 A4","I2_C1 C1_C4 C4_B4 B4_B3 B3_H3 H3_H4 H4_G4 G4_G1 G1_A4 Selec",TRUE,"I","A","A",4,TRUE,11,6,5,322.1,148816,126272,149870,22598,29922,149870,123646,121353,"11:32:26",9,1,6.264982043,"S","S",12,"S","S",5,"S","S",10,"L","M",1054,12,5.40832691319598,1,1
2019-04-25,"11:32:26",3668,83,"Test_Trials_B_3-083-1","B3","TrialProc",4,35,7,5226.234131,2158.371557,1,1,"A A G G H H B B C D D J R U U T X X V Y Y","A3 G3 G2 H2 H1 B1 B2 C2 D2 D3 J3 R3 U3 U4 T4 X4 X3 V2 Y3 Y3","A4_A3 A3_G3 G3_G2 G2_H2 H2_H1 H1_B1 B1_B2 B2_C2 C2_D2 D2_D3 D3_J3 J3_R3 R3_U3 U3_U4 U4_T4 T4_X4 X4_X3 X3_V2 V2_Y3 Selec",TRUE,"A","Y","Y",3,TRUE,21,13,8,223.4,199957,157802,201011,42209,29922,201011,153456,155629,"11:32:26",1,22,14.80920322,"L","L",21.25,"S","M",7,"L","M",13,"L","L",1054,34.75,14.6308748883995,1.63529411764706,1.63529411764706
2019-04-25,"11:32:26",3669,83,"Test_Trials_B_3-083-1","B3","TrialProc",5,20,4,5016.320066,2970.298489,12,2,"L L G G H H B B C D E E M S S R R J J K K","L1 G1 G2 H2 H1 B1 B2 C2 D2 E2 E3 M3 S3 S4 R4 R1 J1 J2 K2 K2","L2_L1 L1_G1 G1_G2 G2_H2 H2_H1 H1_B1 B1_B2 B2_C2 C2_D2 D2_E2 E2_E3 E3_M3 M3_S3 S3_S4 S4_R4 R4_R1 R1_J1 J1_J2 J2_K2 Selec",TRUE,"L","K","K",1,TRUE,21,12,9,148.8,256698,212223,257751,44528,29922,257751,206250,209236,"11:32:26",12,11,10.0623059,"L","M",20,"S","M",7,"L","M",12,"L","L",1053,37,10.5118980208143,1.85,1.85
2019-04-25,"11:32:26",3670,83,"Test_Trials_B_3-083-1","B3","TrialProc",6,1,5,5537.144697,2226.234131,14,3,"N N F F E E M S S R R U U W W","N1 F1 F4 E4 E3 M3 S3 S4 R4 R3 U3 U2 W4 W4","N3_N1 N1_F1 F1_F4 F4_E4 E4_E3 E3_M3 M3_S3 S3_S4 S4_R4 R4_R3 R3_U3 U3_U2 U2_W4 Selec",TRUE,"N","W","W",4,TRUE,15,8,7,164,303986,267257,305039,36782,29922,305039,262777,265017,"11:32:26",14,23,10.51487042,"L","M",26.25,"L","L",7,"L","M",11,"L","M",1053,26.25,10.5148704224065,1,1
2019-04-25,"11:32:26",3671,83,"Test_Trials_B_3-083-1","B3","TrialRevProc",7,93,8,2432.670237,2640.413758,16,2,"P P Z T T Q H B B C C I I","P3 Z2 T2 T1 Q1 H1 B1 B2 C2 C3 I2 I2","P2_P3 P3_Z2 Z2_T2 T2_T1 T1_Q1 Q1_H1 H1_B1 B1_B2 B2_C2 C2_C3 C3_I2 Selec",TRUE,"P","I","I",1,TRUE,13,8,5,241.25,346701,317518,347754,29236,29922,347754,313238,310585,"11:32:26",16,9,7.079901129,"S","S",22.5,"L","M",7,"L","M",11,"L","M",1053,22.5,6.75462804305315,1,1
2019-04-25,"11:32:26",3672,83,"Test_Trials_B_3-083-1","B3","TrialProc",8,60,1,3053.64745,2985.598372,9,3,"I C C D D J R U U T X X V Y Y","C1 C2 D2 D3 J3 R3 U3 U4 T4 X4 X3 V2 Y3 Y3","I2_C1 C1_C2 C2_D2 D2_D3 D3_J3 J3_R3 R3_U3 U3_U4 U4_T4 T4_X4 X4_X3 X3_V2 V2_Y3 Selec",TRUE,"I","Y","Y",3,TRUE,15,10,5,246.857142857143,389910,356207,390963,33756,29922,390963,350208,353207,"11:32:26",9,22,10.75,"L","M",22.75,"L","M",8,"L","L",14,"L","L",1053,28.75,10.7616216250154,1.26373626373626,1.26373626373626
2019-04-25,"11:26:33",3673,83,"Test_Trials_B_4-083-1","B4","TrialProc",1,40,7,4896.154542,2723.092694,15,4,"O M M M M S S R R U U W W","M2 M3 M4 M3 S3 S4 R4 R3 U3 U2 W4 W4","O2_M2 M2_M3 M3_M4 M4_M3 M3_S3 S3_S4 S4_R4 R4_R3 R3_U3 U3_U2 U2_W4 Selec",TRUE,"O","W","W",4,TRUE,13,6,7,278.916666666667,54137,21088,55191,33103,15605,55191,15622,18355,"11:26:33",15,23,7.25,"S","S",17.75,"S","S",5,"S","S",9,"S","M",1054,17.75,7.25,1,1
2019-04-25,"11:26:33",3674,83,"Test_Trials_B_4-083-1","B4","TrialProc",2,18,6,2159.686377,2432.670237,22,3,"Y Y V V V X Z Z T T Q H H G G A A","Y4 V1 V2 V1 X1 Z1 Z2 T2 T1 Q1 H1 H4 G4 G1 A4 A4","Y2_Y4 Y4_V1 V1_V2 V2_V1 V1_X1 X1_Z1 Z1_Z2 Z2_T2 T2_T1 T1_Q1 Q1_H1 H1_H4 H4_G4 G4_G1 G1_A4 Selec",TRUE,"Y","A","A",4,TRUE,17,9,8,201.9375,105198,64976,106252,40276,15605,106252,60097,62537,"11:26:33",22,1,14.80920322,"L","L",21.25,"S","M",7,"L","M",13,"L","L",1054,24.25,14.6308748883995,1.14117647058824,1.14117647058824
